Compound,Element,Anion,MW (g/mol),Temp (°C),Mass %,Molarity (M),log S,g/100mL H2O,Source,Substance Name,SMILES,Data Quality,SD,Measurements
Ag2SO4,Ag,SO,311.79,30,0.88,0.0282,-1.5494,0.8878,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
Ag2SO4,Ag,SO,311.79,40,0.97,0.0311,-1.5071,0.9795,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
Ag2SO4,Ag,SO,311.79,50,1.05,0.0337,-1.4727,1.0611,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
Ag2SO4,Ag,SO,311.79,60,1.13,0.0362,-1.4408,1.1429,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
Ag2SO4,Ag,SO,311.79,70,1.2,0.0385,-1.4147,1.2146,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
Ag2SO4,Ag,SO,311.79,80,1.26,0.0404,-1.3935,1.2761,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
Ag2SO4,Ag,SO,311.79,90,1.32,0.0423,-1.3733,1.3377,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
Ag2SO4,Ag,SO,311.79,100,1.39,0.0446,-1.3508,1.4096,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
AgBrO3,Ag,BrO,235.77,0,0.193,0.0082,-2.0869,0.1934,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
AgBrO3,Ag,BrO,235.77,90,1.32,0.056,-1.2519,1.3377,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
AgBrO3,Ag,BrO,235.77,100,7,0.2969,-0.5274,7.5269,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
AgClO2,Ag,ClO,159.32,0,0.17,0.0107,-1.9718,0.1703,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
AgClO2,Ag,ClO,159.32,10,0.31,0.0195,-1.7109,0.311,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
AgClO2,Ag,ClO,159.32,20,0.47,0.0295,-1.5302,0.4722,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
AgClO2,Ag,ClO,159.32,25,0.55,0.0345,-1.4619,0.553,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
AgClO2,Ag,ClO,159.32,30,0.64,0.0402,-1.3961,0.6441,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
AgClO2,Ag,ClO,159.32,40,0.82,0.0515,-1.2885,0.8268,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
AgClO2,Ag,ClO,159.32,50,1.02,0.064,-1.1937,1.0305,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
AgClO2,Ag,ClO,159.32,60,1.22,0.0766,-1.1159,1.2351,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
AgClO2,Ag,ClO,159.32,70,1.44,0.0904,-1.0439,1.461,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
AgClO2,Ag,ClO,159.32,80,1.66,0.1042,-0.9822,1.688,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
AgClO2,Ag,ClO,159.32,90,1.88,0.118,-0.9281,1.916,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
AgClO2,Ag,ClO,159.32,100,2.11,0.1324,-0.878,2.1555,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
AgClO3,Ag,ClO,175.32,0,15,0.8556,-0.0677,17.6471,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
AgClO3,Ag,ClO,175.32,100,7,0.3993,-0.3987,7.5269,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
AgClO4,Ag,ClO,191.32,0,81.6,4.2651,0.6299,443.4783,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
AgClO4,Ag,ClO,191.32,10,83,4.3383,0.6373,488.2353,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
AgClO4,Ag,ClO,191.32,20,84.2,4.401,0.6436,532.9114,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
AgClO4,Ag,ClO,191.32,25,84.8,4.4324,0.6466,557.8947,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
AgClO4,Ag,ClO,191.32,30,85.3,4.4585,0.6492,580.2721,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
AgClO4,Ag,ClO,191.32,40,86.3,4.5108,0.6543,629.927,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
AgClO4,Ag,ClO,191.32,50,86.9,4.5421,0.6573,663.3588,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
AgClO4,Ag,ClO,191.32,60,87.5,4.5735,0.6602,700,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
AgClO4,Ag,ClO,191.32,70,87.9,4.5944,0.6622,726.4463,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
AgClO4,Ag,ClO,191.32,80,88.3,4.6153,0.6642,754.7009,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
AgClO4,Ag,ClO,191.32,90,88.6,4.631,0.6657,777.193,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
AgClO4,Ag,ClO,191.32,100,88.8,4.6414,0.6667,792.8571,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
AgNO2,Ag,NO,153.87,0,0.155,0.0101,-1.9968,0.1552,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
AgNO2,Ag,NO,153.87,20,0.413,0.0268,-1.5712,0.4147,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
AgNO2,Ag,NO,153.87,100,7,0.4549,-0.3421,7.5269,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
AgNO3,Ag,NO,169.87,0,55.9,3.2908,0.5173,126.7574,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
AgNO3,Ag,NO,169.87,10,62.3,3.6675,0.5644,165.252,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
AgNO3,Ag,NO,169.87,20,67.8,3.9913,0.6011,210.559,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
AgNO3,Ag,NO,169.87,25,70.1,4.1267,0.6156,234.4482,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
AgNO3,Ag,NO,169.87,30,72.3,4.2562,0.629,261.0108,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
AgNO3,Ag,NO,169.87,40,76.1,4.4799,0.6513,318.41,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
AgNO3,Ag,NO,169.87,50,79.2,4.6624,0.6686,380.7692,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
AgNO3,Ag,NO,169.87,60,81.7,4.8096,0.6821,446.4481,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
AgNO3,Ag,NO,169.87,70,83.8,4.9332,0.6931,517.284,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
AgNO3,Ag,NO,169.87,80,85.4,5.0274,0.7013,584.9315,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
AgNO3,Ag,NO,169.87,90,86.7,5.1039,0.7079,651.8797,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
AgNO3,Ag,NO,169.87,100,87.8,5.1687,0.7134,719.6721,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
Al(ClO4)3,Al,ClO,325.33,0,54.9,1.6875,0.2272,121.7295,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
Al(ClO4)3,Al,ClO,325.33,30,64.4,1.9795,0.2966,180.8989,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
Al(ClO4)3,Al,ClO,325.33,100,7,0.2152,-0.6672,7.5269,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
Al(NO3)3,Al,NO,213,0,37,1.7371,0.2398,58.7302,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
Al(NO3)3,Al,NO,213,10,38.2,1.7934,0.2537,61.8123,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
Al(NO3)3,Al,NO,213,20,39.9,1.8732,0.2726,66.3894,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
Al(NO3)3,Al,NO,213,25,40.8,1.9155,0.2823,68.9189,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
Al(NO3)3,Al,NO,213,30,42,1.9718,0.2949,72.4138,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
Al(NO3)3,Al,NO,213,40,44.5,2.0892,0.32,80.1802,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
Al(NO3)3,Al,NO,213,50,47.3,2.2207,0.3465,89.7533,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
Al(NO3)3,Al,NO,213,60,50.4,2.3662,0.3741,101.6129,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
Al(NO3)3,Al,NO,213,70,53.8,2.5258,0.4024,116.4502,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
Al(NO3)3,Al,NO,213,100,61.5,2.8873,0.4605,159.7403,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
Al2(SO4)3,Al,SO,342.15,0,27.5,0.8037,-0.0949,37.931,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
Al2(SO4)3,Al,SO,342.15,10,27.8,0.8125,-0.0902,38.5042,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
Al2(SO4)3,Al,SO,342.15,20,28.2,0.8242,-0.084,39.2758,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
Al2(SO4)3,Al,SO,342.15,30,29.2,0.8534,-0.0688,41.2429,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
Al2(SO4)3,Al,SO,342.15,40,30.7,0.8973,-0.0471,44.3001,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
Al2(SO4)3,Al,SO,342.15,50,32.6,0.9528,-0.021,48.368,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
Al2(SO4)3,Al,SO,342.15,60,34.9,1.02,0.0086,53.6098,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
Al2(SO4)3,Al,SO,342.15,70,37.6,1.0989,0.041,60.2564,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
Al2(SO4)3,Al,SO,342.15,80,40.7,1.1895,0.0754,68.6341,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
Al2(SO4)3,Al,SO,342.15,90,44.2,1.2918,0.1112,79.2115,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
AlCl3,Al,Cl,133.34,0,30.84,2.3129,0.3642,44.5922,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
AlCl3,Al,Cl,133.34,10,30.91,2.3181,0.3651,44.7387,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
AlCl3,Al,Cl,133.34,20,31.03,2.3271,0.3668,44.9906,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
AlCl3,Al,Cl,133.34,25,31.1,2.3324,0.3678,45.1379,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
AlCl3,Al,Cl,133.34,30,31.18,2.3384,0.3689,45.3066,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
AlCl3,Al,Cl,133.34,40,31.37,2.3526,0.3716,45.7089,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
AlCl3,Al,Cl,133.34,50,31.6,2.3699,0.3747,46.1988,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
AlCl3,Al,Cl,133.34,60,31.87,2.3901,0.3784,46.7782,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
AlCl3,Al,Cl,133.34,70,32.17,2.4126,0.3825,47.4274,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
AlCl3,Al,Cl,133.34,80,32.51,2.4381,0.3871,48.1701,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
AlCl3,Al,Cl,133.34,90,32.9,2.4674,0.3922,49.0313,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
AlCl3,Al,Cl,133.34,100,33.32,2.4989,0.3977,49.97,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
AlF3,Al,F,83.98,0,0.25,0.0298,-1.5262,0.2506,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
AlF3,Al,F,83.98,10,0.34,0.0405,-1.3927,0.3412,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
AlF3,Al,F,83.98,20,0.44,0.0524,-1.2807,0.4419,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
AlF3,Al,F,83.98,25,0.5,0.0595,-1.2252,0.5025,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
AlF3,Al,F,83.98,30,0.56,0.0667,-1.176,0.5632,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
AlF3,Al,F,83.98,40,0.68,0.081,-1.0917,0.6847,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
AlF3,Al,F,83.98,50,0.81,0.0965,-1.0157,0.8166,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
AlF3,Al,F,83.98,60,0.96,0.1143,-0.9419,0.9693,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
AlF3,Al,F,83.98,70,1.11,0.1322,-0.8789,1.1225,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
AlF3,Al,F,83.98,80,1.28,0.1524,-0.817,1.2966,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
AlF3,Al,F,83.98,90,1.45,0.1727,-0.7628,1.4713,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
AlF3,Al,F,83.98,100,1.64,0.1953,-0.7093,1.6673,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
As2O3,As,O,197.84,0,1.19,0.0601,-1.2208,1.2043,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
As2O3,As,O,197.84,10,1.48,0.0748,-1.1261,1.5022,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
As2O3,As,O,197.84,20,1.8,0.091,-1.041,1.833,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
As2O3,As,O,197.84,25,2.01,0.1016,-0.9931,2.0512,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
As2O3,As,O,197.84,30,2.27,0.1147,-0.9403,2.3227,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
As2O3,As,O,197.84,40,2.86,0.1446,-0.8399,2.9442,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
As2O3,As,O,197.84,50,3.43,0.1734,-0.761,3.5518,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
As2O3,As,O,197.84,60,4.11,0.2077,-0.6825,4.2862,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
As2O3,As,O,197.84,70,4.89,0.2472,-0.607,5.1414,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
As2O3,As,O,197.84,80,5.77,0.2916,-0.5351,6.1233,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
As2O3,As,O,197.84,90,6.72,0.3397,-0.4689,7.2041,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
As2O3,As,O,197.84,100,7.71,0.3897,-0.4093,8.3541,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
Ba(BrO3)2,Ba,BrO,393.13,0,0.285,0.0072,-2.1397,0.2858,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
Ba(BrO3)2,Ba,BrO,393.13,10,0.442,0.0112,-1.9491,0.444,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
Ba(BrO3)2,Ba,BrO,393.13,20,0.656,0.0167,-1.7776,0.6603,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
Ba(BrO3)2,Ba,BrO,393.13,25,0.788,0.02,-1.698,0.7943,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
Ba(BrO3)2,Ba,BrO,393.13,30,0.935,0.0238,-1.6237,0.9438,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
Ba(BrO3)2,Ba,BrO,393.13,40,1.3,0.0331,-1.4806,1.3171,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
Ba(BrO3)2,Ba,BrO,393.13,50,1.74,0.0443,-1.354,1.7708,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
Ba(BrO3)2,Ba,BrO,393.13,60,2.27,0.0577,-1.2385,2.3227,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
Ba(BrO3)2,Ba,BrO,393.13,70,2.9,0.0738,-1.1321,2.9866,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
Ba(BrO3)2,Ba,BrO,393.13,80,3.61,0.0918,-1.037,3.7452,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
Ba(BrO3)2,Ba,BrO,393.13,90,4.4,0.1119,-0.9511,4.6025,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
Ba(BrO3)2,Ba,BrO,393.13,100,5.25,0.1335,-0.8744,5.5409,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
Ba(ClO3)2,Ba,ClO,304.23,0,16.9,0.5555,-0.2553,20.3369,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
Ba(ClO3)2,Ba,ClO,304.23,10,21.23,0.6978,-0.1563,26.9519,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
Ba(ClO3)2,Ba,ClO,304.23,20,23.66,0.7777,-0.1092,30.9929,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
Ba(ClO3)2,Ba,ClO,304.23,25,27.5,0.9039,-0.0439,37.931,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
Ba(ClO3)2,Ba,ClO,304.23,30,29.43,0.9674,-0.0144,41.7033,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
Ba(ClO3)2,Ba,ClO,304.23,40,33.16,1.09,0.0374,49.611,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
Ba(ClO3)2,Ba,ClO,304.23,50,36.69,1.206,0.0813,57.9529,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
Ba(ClO3)2,Ba,ClO,304.23,60,40.05,1.3164,0.1194,66.8057,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
Ba(ClO3)2,Ba,ClO,304.23,70,43.04,1.4147,0.1507,75.5618,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
Ba(ClO3)2,Ba,ClO,304.23,80,45.9,1.5087,0.1786,84.8429,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
Ba(ClO3)2,Ba,ClO,304.23,90,48.7,1.6008,0.2043,94.9318,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
Ba(ClO3)2,Ba,ClO,304.23,100,51.17,1.682,0.2258,104.7921,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
Ba(ClO4)2,Ba,ClO,336.23,0,67.3,2.0016,0.3014,205.8104,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
Ba(ClO4)2,Ba,ClO,336.23,10,70.96,2.1105,0.3244,244.3526,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
Ba(ClO4)2,Ba,ClO,336.23,20,74.3,2.2098,0.3444,289.1051,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
Ba(ClO4)2,Ba,ClO,336.23,25,75.75,2.2529,0.3527,312.3711,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
Ba(ClO4)2,Ba,ClO,336.23,30,77.05,2.2916,0.3601,335.7298,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
Ba(ClO4)2,Ba,ClO,336.23,40,79.23,2.3564,0.3723,381.4636,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
Ba(ClO4)2,Ba,ClO,336.23,50,80.92,2.4067,0.3814,424.109,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
Ba(ClO4)2,Ba,ClO,336.23,60,82.21,2.4451,0.3883,462.1135,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
Ba(ClO4)2,Ba,ClO,336.23,70,83.16,2.4733,0.3933,493.8242,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
Ba(ClO4)2,Ba,ClO,336.23,80,83.88,2.4947,0.397,520.3474,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
Ba(ClO4)2,Ba,ClO,336.23,90,84.43,2.5111,0.3999,542.2608,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
Ba(ClO4)2,Ba,ClO,336.23,100,84.9,2.5251,0.4023,562.2517,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
BaBr2,Ba,Br,297.14,0,47.6,1.6019,0.2046,90.8397,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
BaBr2,Ba,Br,297.14,10,48.5,1.6322,0.2128,94.1748,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
BaBr2,Ba,Br,297.14,20,49.5,1.6659,0.2216,98.0198,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
BaBr2,Ba,Br,297.14,25,50,1.6827,0.226,100,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
BaBr2,Ba,Br,297.14,30,50.4,1.6962,0.2295,101.6129,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
BaBr2,Ba,Br,297.14,40,51.4,1.7298,0.238,105.7613,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
BaBr2,Ba,Br,297.14,50,52.5,1.7668,0.2472,110.5263,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
BaBr2,Ba,Br,297.14,60,53.5,1.8005,0.2554,115.0538,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
BaBr2,Ba,Br,297.14,70,54.5,1.8342,0.2634,119.7802,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
BaBr2,Ba,Br,297.14,80,55.5,1.8678,0.2713,124.7191,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
BaBr2,Ba,Br,297.14,90,56.6,1.9048,0.2799,130.4147,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
BaBr2,Ba,Br,297.14,100,57.6,1.9385,0.2875,135.8491,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
BaCl2,Ba,Cl,208.23,0,23.3,1.119,0.0488,30.3781,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
BaCl2,Ba,Cl,208.23,10,24.88,1.1948,0.0773,33.1203,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
BaCl2,Ba,Cl,208.23,20,26.33,1.2645,0.1019,35.7405,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
BaCl2,Ba,Cl,208.23,25,27.03,1.2981,0.1133,37.0426,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
BaCl2,Ba,Cl,208.23,30,27.7,1.3303,0.1239,38.3126,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
BaCl2,Ba,Cl,208.23,40,29,1.3927,0.1439,40.8451,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
BaCl2,Ba,Cl,208.23,50,30.27,1.4537,0.1625,43.4103,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
BaCl2,Ba,Cl,208.23,60,31.53,1.5142,0.1802,46.0494,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
BaCl2,Ba,Cl,208.23,70,32.81,1.5757,0.1975,48.8317,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
BaCl2,Ba,Cl,208.23,80,34.14,1.6395,0.2147,51.8372,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
BaCl2,Ba,Cl,208.23,90,35.54,1.7068,0.2322,55.135,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
BaCl2,Ba,Cl,208.23,100,37.05,1.7793,0.2502,58.8562,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
BaF2,Ba,F,175.32,0,0.158,0.009,-2.0452,0.1583,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
BaF2,Ba,F,175.32,30,0.161,0.0092,-2.037,0.1613,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
BaF2,Ba,F,175.32,100,7,0.3993,-0.3987,7.5269,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
BaI2,Ba,I,391.14,0,62.5,1.5979,0.2035,166.6667,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
BaI2,Ba,I,391.14,10,64.7,1.6541,0.2186,183.2861,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
BaI2,Ba,I,391.14,20,67.3,1.7206,0.2357,205.8104,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
BaI2,Ba,I,391.14,25,68.8,1.759,0.2453,220.5128,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
BaI2,Ba,I,391.14,30,69.1,1.7666,0.2471,223.6246,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
BaI2,Ba,I,391.14,40,69.5,1.7769,0.2497,227.8689,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
